Sample in Buffer,Sample in Window,TRIGGER,design_1_i/rf_ss/rf_data_system_ila/inst/probe0_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe1_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe2_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe3_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe4_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe5_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe6_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe7_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe8_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe9_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe10_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe11_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe12_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe13_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe14_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe15_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
1000,1000,0,3344,-2916,1212,948,-2620,3360,-2924,1344,-758,258,342,-811,970,-759,258,342
1001,1001,0,924,-2672,3388,-2900,1312,912,-2652,3396,341,-811,970,-759,258,342,-811,969
1002,1002,0,-2900,1260,900,-2668,3380,-2888,1332,832,971,-761,259,342,-811,971,-760,258
1003,1003,0,-2664,3388,-2908,1204,956,-2712,3412,-2900,259,342,-812,972,-761,259,342,-811
1004,1004,0,1252,940,-2612,3412,-2880,1300,936,-2684,-810,972,-762,260,341,-811,973,-761
1005,1005,0,3376,-2896,1296,876,-2696,3412,-2940,1288,-763,262,339,-811,972,-763,261,339
1006,1006,0,900,-2680,3348,-2940,1196,836,-2716,3364,339,-811,972,-763,262,339,-811,972
1007,1007,0,-2960,1240,848,-2652,3420,-2908,1264,816,972,-763,262,339,-810,972,-763,262
1008,1008,0,-2656,3388,-2916,1292,844,-2612,3412,-2924,262,339,-810,972,-763,262,339,-810
1009,1009,0,1220,948,-2684,3388,-2916,1176,904,-2652,-810,972,-763,263,338,-810,972,-763
1010,1010,0,3368,-2948,1172,948,-2712,3344,-2932,1204,-764,263,338,-810,972,-763,263,338
1011,1011,0,900,-2652,3428,-2908,1248,852,-2644,3408,338,-811,972,-764,263,338,-811,972
1012,1012,0,-2920,1212,848,-2644,3356,-2924,1232,832,971,-764,264,337,-810,972,-764,263
1013,1013,0,-2716,3396,-2924,1284,980,-2704,3444,-2940,264,338,-809,972,-764,264,337,-809
1014,1014,0,1264,932,-2644,3396,-2908,1244,960,-2652,-810,974,-765,264,337,-810,973,-764
1015,1015,0,3420,-2928,1244,916,-2720,3376,-2876,1228,-766,265,337,-811,974,-766,265,337
1016,1016,0,880,-2652,3412,-2940,1196,868,-2708,3388,337,-811,974,-766,265,337,-812,974
1017,1017,0,-2912,1272,980,-2724,3368,-2908,1240,972,975,-766,265,337,-811,974,-766,265
1018,1018,0,-2608,3388,-2868,1284,836,-2688,3428,-2916,266,337,-810,975,-766,266,337,-810
1019,1019,0,1228,852,-2700,3380,-2904,1192,936,-2716,-810,975,-767,266,336,-810,975,-767
1020,1020,0,3420,-2904,1196,956,-2636,3436,-2932,1264,-767,266,336,-810,975,-767,266,336
1021,1021,0,872,-2628,3348,-2908,1312,868,-2628,3332,336,-810,975,-767,266,336,-810,975
1022,1022,0,-2944,1204,956,-2652,3420,-2932,1232,864,975,-767,267,336,-810,975,-767,267
1023,1023,0,-2648,3404,-2900,1228,924,-2696,3372,-2932,267,335,-809,975,-767,267,335,-810
