Sample in Buffer,Sample in Window,TRIGGER,design_1_i/rf_ss/rf_data_system_ila/inst/probe0_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe1_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe2_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe3_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe4_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe5_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe6_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe7_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe8_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe9_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe10_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe11_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe12_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe13_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe14_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe15_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
848,848,0,-2588,3388,-3044,1468,788,-2592,3444,-2980,222,376,-829,966,-734,221,376,-830
849,849,0,1416,708,-2476,3372,-3004,1420,784,-2516,-829,966,-734,222,376,-829,966,-734
850,850,0,3352,-3016,1340,812,-2608,3376,-3012,1364,-735,222,375,-829,966,-734,222,375
851,851,0,748,-2608,3412,-3020,1340,800,-2540,3364,375,-829,966,-735,222,375,-829,966
852,852,0,-3020,1392,704,-2580,3396,-2984,1352,788,966,-735,223,375,-829,966,-735,222
853,853,0,-2588,3372,-3004,1332,844,-2600,3372,-2972,223,374,-829,966,-735,223,375,-829
854,854,0,1408,716,-2620,3388,-3044,1344,784,-2564,-829,967,-735,223,374,-829,967,-735
855,855,0,3356,-3036,1416,756,-2592,3420,-3020,1432,-736,224,374,-828,967,-735,224,374
856,856,0,680,-2624,3380,-3012,1332,652,-2540,3340,373,-828,967,-736,224,374,-828,967
857,857,0,-2988,1400,796,-2660,3344,-3012,1320,696,967,-737,224,373,-828,967,-736,224
858,858,0,-2620,3388,-2964,1404,708,-2624,3420,-2988,225,374,-829,968,-737,224,374,-828
859,859,0,1356,724,-2524,3372,-2992,1404,816,-2524,-830,970,-738,225,374,-830,969,-737
860,860,0,3396,-3000,1348,684,-2564,3344,-2972,1400,-737,225,373,-829,969,-738,225,374
861,861,0,796,-2616,3412,-2964,1456,764,-2556,3348,373,-829,969,-738,225,373,-829,968
862,862,0,-3040,1340,712,-2564,3408,-2960,1404,804,969,-738,226,373,-829,969,-738,226
863,863,0,-2528,3436,-2988,1324,716,-2680,3348,-3004,226,373,-829,969,-738,226,373,-829
864,864,0,1416,804,-2556,3332,-3032,1344,740,-2636,-829,969,-739,226,372,-829,969,-739
865,865,0,3412,-2988,1408,700,-2584,3360,-2996,1448,-739,227,372,-829,969,-739,227,372
866,866,0,696,-2624,3436,-3020,1332,676,-2532,3388,372,-828,969,-739,227,372,-829,969
867,867,0,-3004,1392,804,-2644,3420,-2984,1396,860,969,-739,227,372,-828,969,-739,227
868,868,0,-2620,3404,-2972,1412,812,-2540,3388,-2988,228,371,-828,969,-739,227,371,-828
869,869,0,1340,804,-2604,3388,-2920,1420,816,-2524,-828,969,-740,228,371,-828,969,-739
870,870,0,3396,-3012,1400,812,-2540,3388,-2932,1384,-740,228,371,-828,969,-740,228,371
